city,person_id,credit_card,transactions
CityD,1,220,46
CityB,2,1099,85
CityB,3,4610,18
CityA,4,2869,54
CityB,5,1519,19
CityE,6,1304,56
CityE,7,981,2
CityA,8,4974,22
CityB,9,658,84
CityE,10,3397,81
CityE,11,2095,87
CityA,12,1311,47
CityD,13,1,62
CityE,14,4254,5
CityB,15,2169,53
CityD,16,3381,73
CityC,17,2907,4
CityE,18,905,26
CityB,19,3496,97
CityC,20,724,9
CityC,21,4681,56
CityA,22,4931,64
CityB,23,4741,15
CityC,24,2388,69
CityD,25,4928,17
CityB,26,1037,69
CityC,27,2534,97
CityD,28,4815,4
CityD,29,46,6
CityC,30,238,15
CityE,31,3963,26
CityB,32,2614,97
CityE,33,4356,63
CityD,34,1633,26
CityA,35,1620,25
CityB,36,1090,23
CityE,37,709,37
CityB,38,1593,40
CityC,39,4579,41
CityD,40,2151,60
CityB,41,3263,98
CityC,42,22,33
CityA,43,4166,23
CityE,44,2517,18
CityB,45,38,96
CityD,46,1340,44
CityE,47,3873,57
CityD,48,1568,97
CityC,49,4937,15
CityE,50,972,39
CityB,51,890,37
CityB,52,3001,67
CityB,53,1261,48
CityE,54,2630,55
CityD,55,1789,62
CityD,56,178,72
CityE,57,1718,31
CityE,58,4747,81
CityD,59,3150,27
CityA,60,2788,2
CityD,61,3720,24
CityD,62,2391,70
CityC,63,4039,36
CityD,64,1198,9
CityB,65,3743,69
CityB,66,4173,41
CityD,67,3318,27
CityA,68,778,44
CityA,69,831,89
CityC,70,2631,25
CityC,71,4033,81
CityC,72,3554,27
CityB,73,146,24
CityB,74,4986,4
CityD,75,638,52
CityA,76,4810,99
CityC,77,2957,5
CityD,78,2906,1
CityA,79,1092,72
CityA,80,1118,46
CityA,81,1729,86
CityA,82,2334,16
CityD,83,1387,61
CityA,84,3621,2
CityB,85,1538,77
CityB,86,486,6
CityD,87,1420,78
CityE,88,55,48
CityB,89,4094,90
CityC,90,2096,77
CityE,91,1035,21
CityC,92,4479,43
CityE,93,509,11
CityE,94,3608,22
CityD,95,1077,6
CityC,96,1792,46
CityC,97,4611,75
CityE,98,608,21
CityC,99,4139,83
CityC,100,293,67
CityE,101,1890,78
CityE,102,4464,96
CityD,103,513,27
CityC,104,1810,96
CityA,105,4531,67
CityD,106,4762,74
CityC,107,2861,91
CityA,108,1475,83
CityC,109,4182,65
CityD,110,2191,82
CityC,111,1269,3
CityB,112,3964,39
CityA,113,2774,92
CityD,114,1269,11
CityD,115,1507,57
CityA,116,3381,72
CityC,117,111,2
CityD,118,3675,50
CityB,119,3981,46
CityD,120,4750,51
CityB,121,4132,12
CityA,122,998,90
CityE,123,4160,27
CityB,124,3677,54
CityE,125,1598,34
CityE,126,4998,28
CityA,127,1863,76
CityD,128,3565,47
CityD,129,4568,32
CityB,130,1914,80
CityC,131,1107,88
CityB,132,2391,30
CityA,133,2855,44
CityE,134,3899,85
CityE,135,1249,75
CityE,136,4663,56
CityE,137,4554,97
CityC,138,1126,81
CityA,139,1107,90
CityA,140,1097,15
CityC,141,3056,78
CityB,142,608,43
CityA,143,512,19
CityA,144,526,86
CityC,145,4167,88
CityE,146,57,31
CityE,147,2662,59
CityB,148,3853,29
CityB,149,3270,35
CityC,150,639,37
CityD,151,2280,23
CityA,152,4059,46
CityB,153,2971,9
CityC,154,1497,19
CityE,155,1882,95
CityA,156,3104,23
CityE,157,239,9
CityB,158,4102,20
CityD,159,4457,89
CityC,160,4806,19
CityE,161,2720,75
CityD,162,2279,89
CityE,163,3918,81
CityE,164,1141,16
CityC,165,383,47
CityC,166,1037,91
CityD,167,1439,47
CityA,168,4893,39
CityB,169,630,62
CityC,170,4846,80
CityB,171,1516,9
CityD,172,1136,79
CityD,173,3623,2
CityE,174,4791,78
CityE,175,4428,44
CityB,176,3052,15
CityD,177,2041,57
CityE,178,1843,24
CityB,179,1867,10
CityC,180,1374,46
CityA,181,2568,32
CityA,182,112,64
CityC,183,4259,37
CityB,184,3999,97
CityA,185,3677,7
CityE,186,1864,57
CityC,187,2146,21
CityB,188,2795,63
CityD,189,2823,30
CityE,190,3374,37
CityB,191,3376,43
CityB,192,2121,57
CityD,193,3838,66
CityB,194,4250,92
CityE,195,944,72
CityD,196,1853,62
CityE,197,2281,7
CityB,198,936,58
CityD,199,3463,95
CityE,200,1257,3
CityE,201,3817,96
CityA,202,2794,14
CityE,203,2570,31
CityA,204,901,61
CityC,205,738,85
CityC,206,2874,89
CityC,207,4255,80
CityD,208,1411,18
CityB,209,2389,96
CityC,210,1817,23
CityE,211,564,50
CityE,212,2178,66
CityC,213,3271,45
CityB,214,1520,47
CityC,215,2648,12
CityC,216,471,94
CityE,217,4920,74
CityD,218,1051,65
CityE,219,679,87
CityA,220,1845,27
CityA,221,578,85
CityA,222,3572,37
CityC,223,1898,57
CityB,224,2014,15
CityD,225,1245,78
CityD,226,1903,16
CityA,227,2883,44
CityE,228,2209,71
CityA,229,4976,43
CityD,230,2505,26
CityE,231,283,77
CityC,232,3390,30
CityD,233,4097,18
CityA,234,4968,80
CityC,235,2878,59
CityA,236,2076,33
CityD,237,4528,85
CityC,238,4628,2
CityB,239,4375,43
CityD,240,1565,82
CityD,241,754,87
CityB,242,1653,38
CityD,243,4086,23
CityD,244,1496,92
CityE,245,2653,18
CityB,246,4312,27
CityC,247,3104,31
CityD,248,4340,59
CityC,249,2255,88
CityC,250,3297,36
CityD,251,4733,27
CityB,252,2567,83
CityB,253,652,32
CityD,254,4883,83
CityC,255,1472,90
CityE,256,751,53
CityC,257,3407,10
