person_id,city,credit_card,transactions
1,CityE,3672457731728451,2
2,CityA,1356206830276462,3
3,CityD,7102026453849480,9
4,CityD,1217267867951795,14
5,CityD,7800085663482948,11
6,CityB,7340954749998559,17
7,CityD,8756117738410792,8
8,CityC,3097551732819789,8
9,CityE,8656278015064915,14
10,CityA,8449615688446731,2
11,CityA,8887506366531714,8
12,CityE,9390485660147984,12
13,CityC,7049200924159120,7
14,CityB,5761057240946784,11
15,CityA,8854906703674474,18
16,CityB,5425820002447147,16
17,CityB,6375413745365751,19
18,CityA,8496187550372932,18
19,CityB,1934365486002104,17
20,CityE,9751765740207642,2
21,CityD,1598229427606873,16
22,CityA,3506764409898882,4
23,CityD,9875087042438378,1
24,CityA,7220378986144600,3
25,CityC,3552346716075456,3
26,CityD,1579212600124670,10
27,CityA,7125385000408639,16
28,CityB,8585872781926133,7
29,CityD,9307443359684832,19
30,CityD,1690676055082725,1
31,CityD,1145295164934752,17
32,CityA,2077805262174833,7
33,CityB,9732352275168442,5
34,CityB,4137826182999290,19
35,CityB,9567139596886960,4
36,CityA,3683970907261362,2
37,CityC,6688275821983772,9
38,CityE,6602426879799956,11
39,CityD,3798627933632754,2
40,CityD,8457713725521062,4
41,CityC,8584132111313248,4
42,CityE,9622956626920205,7
43,CityC,1463437684941610,16
44,CityA,2411651703452185,17
45,CityA,4180756459587519,10
46,CityE,5736126349345391,7
47,CityA,2131007744755667,1
48,CityE,3326921741716464,1
49,CityB,1315613715333250,16
50,CityE,6004867071238260,17
51,CityB,5541137964644122,3
52,CityC,9075950739505118,10
53,CityC,3361952496552560,4
54,CityA,7948803986805269,7
55,CityB,9869304334877799,4
56,CityB,1111643397827016,16
57,CityB,2699492146319051,18
58,CityB,7508885655695556,4
59,CityD,9395346240774118,12
60,CityD,3883859433135795,12
61,CityC,7979068819364439,17
62,CityD,6390656374689236,11
63,CityA,5673398485795910,4
64,CityD,6080848550090497,3
65,CityE,9270759096743641,10
66,CityB,9343542386402973,3
67,CityC,1369032819404010,19
68,CityE,8147257780795921,9
69,CityD,7160891884490812,3
70,CityE,2642334254238015,11
71,CityE,9755321373756623,5
72,CityE,9411143674278781,7
73,CityD,6776197034875309,7
74,CityE,6567947614657994,4
75,CityE,6858299393965058,7
76,CityE,3770602333062271,11
77,CityA,3465194886798068,11
78,CityE,3429934282948113,5
79,CityD,4694952443862702,10
80,CityC,9765048843815397,18
81,CityA,5755857775266137,14
82,CityB,4245118811978400,7
83,CityB,3581521173735461,15
84,CityD,9846895962707460,12
85,CityA,6946782719655077,10
86,CityA,8877928528718689,15
87,CityB,8285122623622434,11
88,CityC,6752756562220116,16
89,CityE,9611814159919590,18
90,CityC,4226228577345850,2
91,CityA,4474897337514245,12
92,CityD,9664950655005638,12
93,CityC,6110223487048767,18
94,CityC,5515902570773877,16
95,CityA,3052251782746961,8
96,CityB,9030659837880868,12
97,CityA,2623506080535044,19
98,CityC,1171571773545282,11
99,CityC,3279328154458740,11
100,CityD,2498438835012824,19
101,CityC,8337832212875556,3
102,CityD,6353964198794227,19
103,CityC,3473176732298785,9
104,CityB,3792141548664319,3
105,CityC,4137082551918037,18
106,CityD,1741533413148537,8
107,CityD,1815268769133199,7
108,CityD,1476436679657645,17
109,CityC,9683182687024442,13
110,CityD,3928284313289537,1
111,CityE,7630763911568524,12
112,CityB,5782030137945507,16
113,CityC,4237169992918306,16
114,CityD,9428427455679411,6
115,CityB,5200874005000225,19
116,CityC,4467466997955663,2
117,CityB,4251245815607618,6
118,CityE,3042840382045044,1
119,CityC,8365702262201700,1
120,CityD,5154349912195759,11
121,CityA,6581629516612973,12
122,CityD,2934913234344487,6
123,CityC,7756639939817314,13
124,CityD,2568412019795957,12
125,CityA,7882091763289741,10
126,CityA,9112249928441680,3
127,CityA,2388032426491044,13
128,CityD,5637882716957649,14
129,CityC,7269277449782662,10
130,CityD,3177789808885684,19
131,CityA,2450177144872015,14
132,CityE,3656737613987062,11
133,CityA,7749490195123693,7
134,CityA,7698222080835406,13
135,CityC,8942336827127503,19
136,CityD,9176865707518972,5
137,CityC,7415022300634842,7
138,CityD,6147318114700373,1
139,CityA,2224751145060330,19
140,CityA,6888821408534130,17
141,CityA,4997188321826564,18
142,CityD,6550740816873027,1
143,CityA,9056756664241356,4
144,CityC,6220512587123945,9
145,CityC,7851704059733370,18
146,CityA,7677479270296792,16
147,CityE,4331433761980135,1
148,CityD,2929786634266808,5
149,CityE,3838150594227595,11
150,CityA,4489721279146927,6
151,CityE,5087877684993659,12
152,CityD,3397219279926472,15
153,CityD,5023796841503043,1
154,CityE,5695874757441548,14
155,CityB,3060405318789292,7
156,CityD,4590346770961184,8
157,CityA,5364216598322069,6
158,CityA,4204103573527718,5
159,CityA,3252152992956896,19
160,CityB,7245426544731591,7
161,CityA,5823846174169702,7
162,CityE,8862186486278995,18
163,CityB,8963754358487290,1
164,CityD,3106491201463082,10
165,CityB,6577678754600534,9
166,CityA,7540566936810887,8
167,CityA,6625278957267741,16
168,CityE,5979941166955951,10
169,CityD,7546641180593218,5
170,CityD,9812166551999266,19
171,CityB,6337069715612203,5
172,CityA,5051677149461700,9
173,CityA,2721325462229208,16
174,CityB,8196995619552051,4
175,CityC,4863623222128722,2
176,CityA,4314590485618624,19
177,CityD,4263665268978590,2
178,CityB,2506797360615199,17
179,CityB,7528539652232289,8
