person_id,city,credit_card
1,CityE,9431052682325698
2,CityA,7654192015847879
3,CityD,1746419338416370
4,CityD,6901702466436016
5,CityD,1792436931194025
6,CityB,1932619187881821
7,CityD,6118322594318753
8,CityC,1991540799014289
9,CityE,8759286988380974
10,CityA,6196996797328068
11,CityA,9428972278863636
12,CityE,6389714901342854
13,CityC,6005464319106123
14,CityB,3911156996738455
15,CityA,5527555899827960
16,CityB,8252884209268190
17,CityB,8238332212274727
18,CityA,3282654054765836
19,CityB,7660953273574136
20,CityE,9946198883466110
21,CityD,5263242135318085
22,CityA,9591827773788498
23,CityD,1437115519144245
24,CityA,6185840947148992
25,CityC,4333673525081874
26,CityD,1080521023668094
27,CityA,5290414671114342
28,CityB,4892846168411091
29,CityD,1739223010566829
30,CityD,9305359217580092
31,CityD,9299004144106393
32,CityA,5520219525075598
33,CityB,4112695145692867
34,CityB,8478749362794801
35,CityB,5780415555216807
36,CityA,8529230447322152
37,CityC,5893556547356373
38,CityE,5772001999671640
39,CityD,1996459238632970
40,CityD,6057003470719041
41,CityC,8939652633282895
42,CityE,7372098845741564
43,CityC,9248314130989797
44,CityA,2413680245167747
45,CityA,4485132389945605
46,CityE,9914560934160570
47,CityA,1268080219593803
48,CityE,6977213569427068
49,CityB,2131070420766637
50,CityE,9430594085156039
51,CityB,8470075093452347
52,CityC,3740371749785121
53,CityC,3068610163834587
54,CityA,5634829567221798
55,CityB,2228589070632474
56,CityB,2479780747528750
57,CityB,4641402693244928
58,CityB,5058659297324789
59,CityD,6071242373486159
60,CityD,6175384859243334
61,CityC,6989430686772863
62,CityD,1329394073899355
63,CityA,9062368076595086
64,CityD,6592493151113613
65,CityE,1382222996846206
66,CityB,3619629435493300
67,CityC,4444066036518963
68,CityE,8265500816959864
69,CityD,1277273396424026
70,CityE,5159593716060157
71,CityE,8853352757338763
72,CityE,3354412931753067
73,CityD,8656420025759764
74,CityE,4074955226856649
75,CityE,5857551757815190
76,CityE,8348468327496924
77,CityA,2533225394830992
78,CityE,3600222538178800
79,CityD,9282623549036761
80,CityC,9730003444668591
81,CityA,9015681194851662
82,CityB,2258760317175420
83,CityB,7478569757232863
84,CityD,1467612748958433
85,CityA,8606118963732516
86,CityA,2253030552631336
87,CityB,9058832406653062
88,CityC,9108994935074595
89,CityE,9706558059271878
90,CityC,3446428588996777
91,CityA,7847259460573707
92,CityD,7000658228723962
93,CityC,2274572243688697
94,CityC,6769038305790786
95,CityA,3931959961851271
96,CityB,4565522023065585
97,CityA,6796287748455491
98,CityC,1190248299441916
99,CityC,9598109878713911
100,CityD,7520838605289406
101,CityC,8000100964884041
102,CityD,5694835857703443
103,CityC,3989509592483035
104,CityB,4877464926348748
105,CityC,9129730836513429
106,CityD,7300744025455057
107,CityD,1142091652799233
108,CityD,4945433839407867
109,CityC,6964181549104983
110,CityD,3357606519712580
111,CityE,4841942799660063
112,CityB,6389687471028888
113,CityC,6895206867543698
114,CityD,8447366876221472
115,CityB,1943348573361409
116,CityC,3982868001709533
117,CityB,9380139325486619
118,CityE,2904145990207037
119,CityC,7696319284185250
120,CityD,1275722908674756
121,CityA,1721005138595565
122,CityD,3231992713729437
123,CityC,2173277479484086
124,CityD,8929813286147088
125,CityA,5893945161966212
126,CityA,7554975366098527
127,CityA,9296221277080685
128,CityD,5977725466848711
129,CityC,6704000888263051
130,CityD,5670046998308830
131,CityA,7283668772934823
132,CityE,1484547854970494
133,CityA,5773402555670437
134,CityA,4461323958454589
135,CityC,1904888412731270
136,CityD,5069260592137537
137,CityC,2539249425192291
138,CityD,8383002216089347
139,CityA,5314637498194394
140,CityA,3973002878355606
141,CityA,6960723244666507
142,CityD,6536171807390311
143,CityA,6962386597555069
144,CityC,6564742188290368
145,CityC,3011884581838088
146,CityA,1783365634393281
147,CityE,1740502139245183
148,CityD,5413094277248284
149,CityE,6779813351010229
150,CityA,1605245472568703
151,CityE,3773625261018755
152,CityD,7701659587108505
153,CityD,7691846377392341
154,CityE,5127264885114594
155,CityB,8897031611834583
156,CityD,6109109207215413
157,CityA,7122274791469172
158,CityA,4851316998776241
159,CityA,2114375595196015
160,CityB,3813266110360048
161,CityA,1798791015451479
162,CityE,7371586387884148
163,CityB,4930596098204910
164,CityD,9016886523087873
165,CityB,3609569958456771
166,CityA,3607303869549922
167,CityA,3352986194224615
168,CityE,2858639082152182
169,CityD,5535282071333858
170,CityD,2919808985712834
171,CityB,3539960909565845
172,CityA,1633479247700807
173,CityA,4378359283469632
174,CityB,6675416912206259
175,CityC,2579262814669784
176,CityA,5518060403900240
177,CityD,2789258709626137
178,CityB,6949941039004796
179,CityB,7971365856265851
180,CityE,7634613403497374
181,CityA,4413041758407367
182,CityA,3735885194321923
183,CityD,3695781035798553
184,CityC,3469869203155249
185,CityD,7241623133086082
186,CityC,7210365238258781
187,CityE,1204746509534401
188,CityD,1957898243700827
189,CityD,4772110158745036
190,CityA,4703563994553167
191,CityD,2736809345698327
192,CityA,2016758067435004
193,CityE,1856948318909701
194,CityC,3374227143738921
195,CityD,8662842366258894
196,CityE,5041820818161403
197,CityA,4322619257697318
198,CityC,7084618532718405
199,CityD,3996020538988242
200,CityD,7079043772394108
201,CityB,7389691707892030
202,CityD,8815895287250652
203,CityE,7725780724732031
204,CityD,1198447061340163
205,CityD,8623794937314199
206,CityB,2568414347710119
207,CityB,9023847264052096
208,CityB,9187382799978986
209,CityD,8111793956770624
210,CityC,9064017978177394
211,CityC,8698236228271485
212,CityE,9414212877732840
213,CityD,2862796811341372
214,CityB,5896815760239143
215,CityC,5256752082701005
216,CityD,9388182643521667
217,CityB,3851104990783669
218,CityE,3762368046462894
219,CityC,2858189683643156
220,CityC,3709025434952734
221,CityA,7402326186529903
222,CityB,4294900347112211
223,CityA,5937828548729734
224,CityE,4762405752647725
225,CityA,2948226677110338
226,CityD,9777115398670462
227,CityC,5688862795015879
228,CityA,3605785311278113
229,CityA,2766986235567212
230,CityB,4733014266076316
231,CityB,5435707288133852
232,CityA,5115256718754790
233,CityD,6224489323997172
234,CityA,8922086238213499
235,CityD,4459253976911886
236,CityA,8377298255125833
237,CityE,6024853726058077
238,CityE,6198628768949322
239,CityA,5542582047015877
240,CityB,1281726350356687
241,CityD,3408423872624442
242,CityE,6731439255143243
243,CityD,8753489008519947
244,CityC,5253156320180231
245,CityB,7828012698535885
246,CityB,1154158767589145
247,CityC,8425616324134415
248,CityB,3321609853511481
249,CityE,9320343782415421
250,CityC,9969520291191470
251,CityE,5679066420956550
252,CityE,6414894414877851
253,CityC,7788634298394431
254,CityD,7021643805480091
255,CityD,8781713704538161
256,CityB,2169953124401550
257,CityC,7928379284924006
258,CityE,6593866128131235
259,CityD,7442715344902701
260,CityD,6647200692560305
261,CityB,7335582223024372
262,CityB,7101872022200060
263,CityB,7695512414229764
264,CityB,2139952525191307
265,CityC,9362744452488622
266,CityA,9425765728134123
267,CityD,4285061253404710
268,CityB,6370685094928635
269,CityE,1578820217161722
270,CityD,8179200166373784
271,CityB,1612127185754096
272,CityB,9394069611264062
273,CityC,5071448671580289
274,CityA,5022156744057040
275,CityA,9554308906501452
276,CityC,6278725410188798
277,CityE,5907925293662668
278,CityA,2334138804533269
279,CityE,3786759703029380
280,CityD,7020534047467491
281,CityD,7328544284032433
282,CityA,9991834542471573
283,CityA,6480604731162433
284,CityD,9512636447090666
285,CityD,9883407811227423
286,CityA,4034259342190890
287,CityD,2124996869621108
288,CityA,9052868454282335
289,CityC,6305515549382694
290,CityB,6153824120092849
291,CityA,4418128217119717
292,CityE,6286077658191919
293,CityA,1718932183153718
294,CityD,1350681999680690
295,CityE,7827349698843597
296,CityE,8651331903661761
297,CityB,9080517963140489
298,CityA,9096456368489352
299,CityC,7228275435908987
300,CityE,2113937094084636
301,CityE,6422230818065736
302,CityC,2603623920242301
303,CityE,7272057843808805
304,CityD,2492011945335998
305,CityC,8965502761154500
306,CityD,3196574166080724
307,CityA,5004296876544262
308,CityA,5469483197739990
309,CityA,7300806299566943
310,CityD,4870133020761038
311,CityE,5273638666337331
312,CityE,7430323479171421
313,CityC,4154207049119193
314,CityC,1506861706830413
315,CityE,1456862637781056
316,CityB,3739394807771778
317,CityD,2630815823885992
318,CityD,3289001819651207
319,CityD,9086525303205913
320,CityB,2874421923420511
321,CityC,4658763665183405
322,CityC,8885755238291946
323,CityD,5458888548274399
324,CityC,8983517175863997
325,CityD,2758777246826732
326,CityE,5292826023309749
327,CityE,5529083634763587
328,CityC,3910602725560049
329,CityB,9132972583658993
330,CityC,6711331372846413
331,CityA,3088140919631962
332,CityD,3966090699574605
333,CityA,2557535291618334
334,CityC,9406810172564964
335,CityE,5543075500098931
336,CityD,2089762649966284
337,CityC,4699326607397078
338,CityB,3960233414351287
339,CityC,5496350756470970
340,CityB,4325352237588680
341,CityE,9894335935444684
342,CityB,5619166191992731
343,CityA,5566743732392982
344,CityA,2039635156959063
345,CityA,1459526405774747
346,CityA,6395136753207203
347,CityA,8960820138227328
348,CityB,6973494250979651
349,CityA,3200902604763433
350,CityD,1717962496203902
351,CityB,9563662650677039
352,CityE,7756518277019794
353,CityB,1088536709323469
354,CityC,7568286824503979
355,CityE,1981900216801625
356,CityA,7276088607158323
357,CityA,3074575006026580
358,CityC,4396739522424781
359,CityA,2505233610682834
360,CityE,4049654689900958
361,CityE,1254350176373865
362,CityE,5593436122337159
363,CityB,9273031167491772
364,CityB,3439849782679758
365,CityE,6721338542842664
366,CityB,5109765593308550
367,CityB,4297733251838854
368,CityD,4204902118257942
369,CityB,3939210983483100
370,CityD,5895347998608296
371,CityD,1514055136485923
372,CityB,8277197212422064
373,CityB,7807070809270031
374,CityB,5992383916344786
375,CityA,7549536391413624
376,CityD,1909138120983156
377,CityA,8292242811586503
378,CityE,3133134810768843
379,CityB,4046499290762720
380,CityE,3122356458577709
381,CityA,1711005255917684
382,CityD,8484734999784190
383,CityC,7069598590439829
384,CityB,5159025119664305
385,CityE,5089739856427878
386,CityE,8046268033963893
387,CityE,5241725744428769
388,CityA,7847949537524967
389,CityA,3157033829465742
390,CityC,8693915833691432
391,CityA,8643685027247949
392,CityD,1288882275714024
