person_id,city,credit_card,amount,product_id,quantity,price,transactions
1,CityE,8902458760925740,445.38,84,6,116.36,16
2,CityA,6281091465943971,472.03,71,9,45.77,13
3,CityD,3559427632205373,386.98,45,8,215.26,6
4,CityD,5565369881714848,695.47,12,4,440.83,2
5,CityD,3737121537383839,319.18,57,2,162.37,15
6,CityB,1119571466343261,973.05,79,9,52.44,17
7,CityD,1549777912906039,907.93,89,5,23.32,14
8,CityC,9436554740942918,302.9,30,6,464.22,18
9,CityE,9234063395572190,400.26,77,4,497.51,7
10,CityA,5406346480622514,683.65,90,4,232.75,1
11,CityA,2479880868553246,535.58,49,2,7.77,11
12,CityE,8005421634121303,545.42,96,3,88.61,10
13,CityC,4372189696229855,86.31,91,8,295.79,5
14,CityB,5868819522609308,880.36,94,6,278.39,4
15,CityA,5877537415707172,782.14,63,2,482.91,8
16,CityB,8406337404830861,15.6,7,6,277.05,16
17,CityB,5191421035053276,845.43,95,7,153.77,9
18,CityA,8238915593674568,336.38,64,6,241.45,12
19,CityB,6091608715697544,95.87,34,8,158.28,18
20,CityE,9803061078604072,20.11,81,4,220.9,11
21,CityD,3774939556547363,496.32,34,6,183.96,12
22,CityA,8340195630065083,591.07,55,2,198.41,9
23,CityD,8435846130017998,480.35,68,1,326.73,5
24,CityA,9452244753455173,542.61,23,5,153.15,12
25,CityC,5419412275602002,949.95,87,6,31.36,11
26,CityD,1011156131242225,737.19,93,8,351.69,12
27,CityA,1996871146567887,180.25,49,5,133.64,17
28,CityB,8215603275058882,899.04,94,5,444.14,10
29,CityD,8422700543796749,483.25,64,8,146.02,18
30,CityD,2402734251927657,470.37,80,4,277.53,9
31,CityD,5402236613998751,742.05,75,3,464.56,13
32,CityA,6892003925999978,866.15,39,9,11.39,7
33,CityB,1348419291352032,71.22,27,7,185.07,19
34,CityB,5198531421573981,417.08,9,1,223.12,13
35,CityB,6673137617550777,525.96,73,8,294.24,4
36,CityA,4831571841520628,868.89,58,6,434.32,7
37,CityC,6669191486378134,598.78,20,6,289.79,5
38,CityE,6485939861191611,374.9,89,7,388.27,10
39,CityD,9002955067310067,112.25,36,5,215.32,12
40,CityD,3347330494234955,549.0,46,4,293.88,13
41,CityC,8314547988804303,390.19,62,7,399.12,18
42,CityE,3527079491976130,665.84,37,8,416.05,8
43,CityC,4536087796206422,657.66,49,5,32.26,14
44,CityA,4034754484213566,553.42,82,8,428.51,9
45,CityA,5027884479945991,451.03,97,9,89.84,13
46,CityE,2484838253731218,551.09,18,2,295.02,15
47,CityA,3418806146593027,627.01,37,6,395.68,19
48,CityE,7813491327705827,764.34,63,1,158.48,17
49,CityB,1875624291512268,483.71,44,1,281.0,4
50,CityE,5153441043134905,375.77,43,7,188.81,2
51,CityB,1070125091045094,489.41,82,5,58.17,5
52,CityC,6837986210471070,622.48,93,6,118.5,3
53,CityC,3432383023001224,740.66,62,1,155.8,2
54,CityA,6320760669647890,352.85,85,1,415.38,2
55,CityB,9849113656403190,796.17,65,3,275.63,11
56,CityB,6520245674093365,384.96,16,1,125.6,9
57,CityB,7183708886164675,743.84,96,5,494.72,18
58,CityB,8498470932990377,560.98,80,9,11.78,18
59,CityD,4142785123932845,344.22,5,5,130.56,12
60,CityD,4788100463307230,955.55,41,9,274.91,11
61,CityC,2358152099123402,505.48,33,4,485.66,1
62,CityD,5674349845740618,870.7,14,9,294.95,7
63,CityA,6088545740751059,767.81,76,7,47.63,19
64,CityD,4312816375454407,418.48,17,6,398.75,16
65,CityE,4916787969226187,680.0,38,9,191.17,4
66,CityB,7062184423048141,113.92,59,4,136.99,12
67,CityC,3346271604896181,398.32,28,3,5.75,5
68,CityE,8287266299273433,20.55,70,1,239.8,9
69,CityD,4917424327412717,926.33,100,7,94.9,4
70,CityE,5330463099627914,816.51,38,4,87.73,3
71,CityE,5975649102797433,617.53,13,3,438.37,16
72,CityE,3173841657555787,979.72,80,8,8.76,16
73,CityD,6685159221380264,448.81,34,6,395.34,14
74,CityE,1241440707559486,53.44,16,1,359.89,2
75,CityE,4862996558464610,716.54,58,8,345.57,11
76,CityE,4402423541529047,417.04,70,8,358.7,10
77,CityA,9540227700505380,553.47,91,9,285.93,14
78,CityE,1869495095896966,16.14,50,7,120.84,15
79,CityD,3635071473071661,660.8,53,7,420.05,9
80,CityC,4004636492308745,809.13,93,5,349.26,19
81,CityA,9873678859335583,541.92,94,2,283.61,7
82,CityB,9250701637903187,573.25,24,7,284.03,19
83,CityB,9855758987170849,536.16,25,5,415.36,19
84,CityD,9681904507823564,590.32,66,3,100.61,4
85,CityA,6533225925946504,469.46,50,8,30.31,3
