city,person_id,credit_card,transactions
CityC,person_0,cc_388,79
CityD,person_1,cc_4235,58
CityC,person_2,cc_1497,47
CityA,person_3,cc_9958,27
CityD,person_4,cc_5071,80
CityB,person_5,cc_7298,32
CityA,person_6,cc_8895,98
CityC,person_7,cc_7639,44
CityA,person_8,cc_5125,89
CityC,person_9,cc_4429,91
CityA,person_10,cc_5153,82
CityC,person_11,cc_1792,17
CityA,person_12,cc_7323,35
CityA,person_13,cc_3246,46
CityC,person_14,cc_9323,8
CityC,person_15,cc_7115,86
CityB,person_16,cc_4177,65
CityC,person_17,cc_2595,41
CityA,person_18,cc_120,36
CityA,person_19,cc_6689,46
CityC,person_20,cc_1251,92
CityD,person_21,cc_4134,59
CityB,person_22,cc_6248,99
CityD,person_23,cc_3908,57
CityD,person_24,cc_1515,95
CityB,person_25,cc_1059,29
CityA,person_26,cc_3541,95
CityD,person_27,cc_473,72
CityC,person_28,cc_3489,5
CityB,person_29,cc_301,27
CityC,person_30,cc_2811,91
CityC,person_31,cc_7269,69
CityC,person_32,cc_3554,10
CityA,person_33,cc_7382,25
CityD,person_34,cc_7957,73
CityB,person_35,cc_4575,43
CityB,person_36,cc_2789,64
CityA,person_37,cc_790,25
CityA,person_38,cc_4684,96
CityB,person_39,cc_8381,57
CityB,person_40,cc_8323,39
CityB,person_41,cc_608,83
CityB,person_42,cc_7825,86
CityA,person_43,cc_3918,4
CityA,person_44,cc_1068,82
CityB,person_45,cc_1210,4
CityB,person_46,cc_5783,74
CityA,person_47,cc_7761,65
CityA,person_48,cc_204,54
CityC,person_49,cc_2955,70
CityC,person_50,cc_665,71
CityA,person_51,cc_2161,49
CityB,person_52,cc_5566,89
CityC,person_53,cc_6284,55
CityB,person_54,cc_4158,90
CityD,person_55,cc_6439,32
CityA,person_56,cc_9256,37
CityA,person_57,cc_3219,57
CityD,person_58,cc_5820,88
CityA,person_59,cc_8335,57
CityA,person_60,cc_2209,77
CityA,person_61,cc_2002,91
CityB,person_62,cc_6475,20
CityA,person_63,cc_8733,77
CityB,person_64,cc_9165,23
CityC,person_65,cc_6812,56
CityC,person_66,cc_8982,100
CityD,person_67,cc_1608,15
CityA,person_68,cc_5404,14
CityD,person_69,cc_6795,18
CityD,person_70,cc_6545,19
CityB,person_71,cc_3635,62
CityC,person_72,cc_6863,6
CityD,person_73,cc_5050,13
CityA,person_74,cc_4806,92
CityC,person_75,cc_4163,61
CityC,person_76,cc_1599,54
CityD,person_77,cc_7257,38
CityD,person_78,cc_1331,76
CityB,person_79,cc_2089,58
CityB,person_80,cc_7214,36
CityA,person_81,cc_9674,17
CityB,person_82,cc_9622,99
CityA,person_83,cc_8219,87
CityA,person_84,cc_4340,13
CityC,person_85,cc_8435,12
CityA,person_86,cc_1500,13
CityA,person_87,cc_1938,34
CityB,person_88,cc_3826,95
CityD,person_89,cc_1245,3
CityB,person_90,cc_8547,21
CityB,person_91,cc_9072,16
CityD,person_92,cc_3961,57
CityC,person_93,cc_1960,56
CityD,person_94,cc_8947,92
CityA,person_95,cc_3650,100
CityD,person_96,cc_7563,65
CityA,person_97,cc_4274,83
CityD,person_98,cc_7285,46
CityC,person_99,cc_4264,45
CityD,person_100,cc_7486,42
CityA,person_101,cc_3040,12
CityC,person_102,cc_3006,23
CityB,person_103,cc_7560,19
CityA,person_104,cc_6929,56
CityB,person_105,cc_2755,5
CityC,person_106,cc_1166,52
CityA,person_107,cc_1236,81
CityC,person_108,cc_441,38
CityB,person_109,cc_8011,84
CityC,person_110,cc_7736,39
CityC,person_111,cc_8822,51
CityB,person_112,cc_450,80
CityC,person_113,cc_3537,66
CityA,person_114,cc_7828,48
CityC,person_115,cc_7910,53
CityC,person_116,cc_1248,81
CityD,person_117,cc_6802,11
CityA,person_118,cc_3801,74
CityC,person_119,cc_2729,49
CityC,person_120,cc_3942,96
CityA,person_121,cc_188,63
