city,person_id,credit_card,transactions
CityB,person_0,card_2782,18
CityD,person_1,card_3005,22
CityA,person_2,card_2549,42
CityD,person_3,card_1082,77
CityC,person_4,card_4261,25
CityC,person_5,card_2250,16
CityB,person_6,card_4709,9
CityB,person_7,card_2235,29
CityB,person_8,card_4275,83
CityC,person_9,card_2733,78
CityA,person_10,card_836,11
CityC,person_11,card_4978,1
CityD,person_12,card_2613,72
CityC,person_13,card_1503,20
CityB,person_14,card_1202,54
CityA,person_15,card_496,92
CityB,person_16,card_1092,26
CityD,person_17,card_2289,82
CityA,person_18,card_4302,25
CityA,person_19,card_416,15
CityB,person_20,card_1760,58
CityB,person_21,card_2402,51
CityC,person_22,card_311,53
CityD,person_23,card_2824,37
CityB,person_24,card_1401,37
CityD,person_25,card_2083,43
CityB,person_26,card_3290,69
CityD,person_27,card_4666,27
CityA,person_28,card_2029,47
CityC,person_29,card_3775,15
CityC,person_30,card_816,96
CityC,person_31,card_1881,99
CityC,person_32,card_1087,1
CityA,person_33,card_1491,49
CityC,person_34,card_3162,94
CityB,person_35,card_1673,18
CityB,person_36,card_1716,92
CityB,person_37,card_4288,12
CityC,person_38,card_3966,32
CityB,person_39,card_4431,64
CityD,person_40,card_1261,7
CityB,person_41,card_3299,75
CityD,person_42,card_379,51
CityD,person_43,card_3820,4
CityB,person_44,card_674,20
CityA,person_45,card_1756,2
CityB,person_46,card_133,61
CityC,person_47,card_768,36
CityD,person_48,card_1313,45
CityA,person_49,card_3809,6
CityD,person_50,card_4401,86
CityA,person_51,card_2588,83
CityD,person_52,card_3488,77
CityB,person_53,card_2612,28
CityA,person_54,card_3705,56
CityD,person_55,card_3807,70
CityC,person_56,card_27,75
CityB,person_57,card_3087,20
CityD,person_58,card_2987,16
CityB,person_59,card_1903,41
CityD,person_60,card_2911,95
CityB,person_61,card_1982,87
CityB,person_62,card_4610,23
CityC,person_63,card_741,87
CityC,person_64,card_732,38
CityC,person_65,card_3666,48
CityB,person_66,card_4292,57
CityD,person_67,card_2120,40
CityD,person_68,card_372,55
CityB,person_69,card_1454,27
CityB,person_70,card_2701,83
CityA,person_71,card_2095,85
CityC,person_72,card_302,12
CityA,person_73,card_645,43
CityC,person_74,card_4084,3
CityD,person_75,card_1919,5
CityA,person_76,card_1079,44
CityC,person_77,card_4164,70
CityD,person_78,card_56,47
CityC,person_79,card_1000,98
CityA,person_80,card_3810,17
CityC,person_81,card_1844,45
CityD,person_82,card_915,17
CityB,person_83,card_1482,91
CityB,person_84,card_1234,74
CityD,person_85,card_1864,57
CityD,person_86,card_3214,56
CityC,person_87,card_4639,91
CityB,person_88,card_395,75
CityD,person_89,card_2731,81
CityD,person_90,card_1961,40
CityA,person_91,card_1834,68
CityA,person_92,card_4209,21
CityB,person_93,card_2200,14
CityA,person_94,card_3728,92
CityD,person_95,card_3324,79
CityC,person_96,card_1226,21
CityD,person_97,card_1966,58
CityC,person_98,card_3648,18
CityA,person_99,card_4451,97
CityA,person_100,card_786,87
CityD,person_101,card_4983,36
CityD,person_102,card_3348,91
CityB,person_103,card_4607,40
CityA,person_104,card_2898,43
CityC,person_105,card_546,17
CityC,person_106,card_2627,84
CityA,person_107,card_493,73
CityA,person_108,card_995,79
CityB,person_109,card_4082,70
CityA,person_110,card_469,36
CityC,person_111,card_2109,93
CityA,person_112,card_3485,77
CityD,person_113,card_1056,73
CityA,person_114,card_1224,61
CityB,person_115,card_1412,85
CityB,person_116,card_4442,82
CityA,person_117,card_2136,17
CityA,person_118,card_3273,25
CityC,person_119,card_4297,88
CityC,person_120,card_1740,58
CityC,person_121,card_4432,63
CityD,person_122,card_1817,41
CityA,person_123,card_4021,83
CityA,person_124,card_1304,1
CityA,person_125,card_934,18
CityA,person_126,card_3808,3
CityD,person_127,card_669,78
CityD,person_128,card_3229,5
CityD,person_129,card_1707,78
CityA,person_130,card_1202,87
CityC,person_131,card_4202,88
CityC,person_132,card_1131,80
CityD,person_133,card_1700,74
CityA,person_134,card_216,66
CityD,person_135,card_2627,94
CityA,person_136,card_1599,19
CityD,person_137,card_1602,19
CityB,person_138,card_1646,16
CityD,person_139,card_2961,80
CityB,person_140,card_3210,24
CityD,person_141,card_4977,62
CityD,person_142,card_2768,11
CityD,person_143,card_4527,47
CityC,person_144,card_151,7
CityC,person_145,card_2605,41
CityC,person_146,card_2631,20
CityD,person_147,card_2435,60
CityC,person_148,card_4145,66
CityC,person_149,card_4616,66
CityB,person_150,card_4717,98
CityB,person_151,card_1313,32
CityA,person_152,card_1126,67
CityB,person_153,card_4131,48
CityA,person_154,card_1553,70
CityD,person_155,card_1973,42
CityC,person_156,card_2168,50
CityD,person_157,card_3982,95
CityC,person_158,card_1505,83
CityA,person_159,card_2220,54
CityB,person_160,card_1864,4
CityD,person_161,card_2668,32
CityB,person_162,card_1665,2
CityA,person_163,card_1784,14
CityB,person_164,card_2863,57
CityB,person_165,card_2305,71
CityD,person_166,card_1214,39
CityD,person_167,card_3219,46
CityA,person_168,card_3126,97
CityB,person_169,card_1581,15
CityD,person_170,card_86,27
CityA,person_171,card_1591,10
CityD,person_172,card_700,6
CityC,person_173,card_3094,57
CityA,person_174,card_2084,76
CityB,person_175,card_2704,55
CityD,person_176,card_1004,13
CityB,person_177,card_208,79
CityD,person_178,card_1086,73
CityC,person_179,card_4084,15
CityB,person_180,card_3756,34
CityA,person_181,card_3419,85
CityA,person_182,card_1953,83
CityB,person_183,card_2535,37
CityC,person_184,card_1528,98
CityC,person_185,card_693,28
CityA,person_186,card_3600,16
CityB,person_187,card_2789,49
CityB,person_188,card_240,79
CityA,person_189,card_2293,36
CityD,person_190,card_2219,42
CityC,person_191,card_3293,10
CityD,person_192,card_1593,69
CityC,person_193,card_290,48
CityB,person_194,card_4667,50
CityB,person_195,card_2065,78
CityB,person_196,card_3939,32
CityB,person_197,card_3504,85
CityD,person_198,card_3531,59
CityC,person_199,card_4940,10
CityB,person_200,card_2367,16
CityD,person_201,card_4403,69
CityC,person_202,card_370,61
CityA,person_203,card_3015,15
CityA,person_204,card_4816,71
CityC,person_205,card_4911,9
CityD,person_206,card_1050,54
CityC,person_207,card_1078,11
CityC,person_208,card_3263,72
CityC,person_209,card_4298,24
CityD,person_210,card_3436,62
CityA,person_211,card_6,53
CityB,person_212,card_4960,27
CityC,person_213,card_2494,31
CityD,person_214,card_4179,10
CityD,person_215,card_1226,98
CityA,person_216,card_1974,84
CityB,person_217,card_2833,91
CityD,person_218,card_2194,32
CityB,person_219,card_110,10
CityA,person_220,card_686,78
CityC,person_221,card_4249,92
CityD,person_222,card_4556,94
CityC,person_223,card_408,20
CityB,person_224,card_2255,59
CityD,person_225,card_3333,57
CityB,person_226,card_3141,61
CityB,person_227,card_2112,76
CityB,person_228,card_3690,37
CityD,person_229,card_190,99
CityD,person_230,card_3994,76
CityB,person_231,card_3755,37
CityC,person_232,card_3518,91
CityC,person_233,card_3961,45
CityD,person_234,card_2140,69
CityC,person_235,card_3681,31
CityD,person_236,card_1463,2
CityD,person_237,card_3019,61
CityB,person_238,card_1094,23
CityA,person_239,card_191,22
CityB,person_240,card_565,54
CityC,person_241,card_392,59
CityB,person_242,card_4107,28
CityD,person_243,card_374,32
CityD,person_244,card_1453,38
CityD,person_245,card_1981,95
CityA,person_246,card_4785,64
CityA,person_247,card_974,4
CityB,person_248,card_4904,74
CityC,person_249,card_4944,36
CityC,person_250,card_1950,21
CityC,person_251,card_4387,21
CityC,person_252,card_1181,99
CityA,person_253,card_2936,75
CityA,person_254,card_820,56
CityD,person_255,card_4168,95
CityB,person_256,card_833,44
CityB,person_257,card_624,95
CityB,person_258,card_4311,5
CityB,person_259,card_3161,4
CityA,person_260,card_4039,17
CityA,person_261,card_4162,98
CityD,person_262,card_1094,75
CityA,person_263,card_4696,9
CityA,person_264,card_132,9
CityC,person_265,card_3186,72
CityC,person_266,card_1636,69
CityC,person_267,card_889,30
CityA,person_268,card_3848,42
CityC,person_269,card_1184,55
CityC,person_270,card_4053,81
CityC,person_271,card_2724,18
CityA,person_272,card_2446,50
CityB,person_273,card_3263,94
CityB,person_274,card_4945,73
CityB,person_275,card_705,88
CityA,person_276,card_4975,84
CityD,person_277,card_1467,86
CityA,person_278,card_4135,71
CityA,person_279,card_2179,96
CityB,person_280,card_139,2
CityC,person_281,card_3739,43
CityA,person_282,card_3003,10
CityB,person_283,card_704,100
CityC,person_284,card_2384,92
CityC,person_285,card_425,94
CityD,person_286,card_3666,55
CityD,person_287,card_3694,16
CityD,person_288,card_729,73
CityB,person_289,card_3916,58
CityA,person_290,card_2981,16
CityC,person_291,card_615,43
CityB,person_292,card_2489,88
CityB,person_293,card_4139,79
CityC,person_294,card_454,90
CityD,person_295,card_4491,88
CityA,person_296,card_4414,33
CityD,person_297,card_3651,79
CityD,person_298,card_1709,41
CityD,person_299,card_2315,23
CityC,person_300,card_3401,66
CityA,person_301,card_4157,81
CityB,person_302,card_2297,57
CityC,person_303,card_1962,67
CityD,person_304,card_1675,89
CityA,person_305,card_2285,54
CityA,person_306,card_3529,75
CityA,person_307,card_3626,51
CityD,person_308,card_3158,53
CityD,person_309,card_387,72
CityC,person_310,card_2138,24
CityD,person_311,card_3119,41
CityA,person_312,card_83,1
CityD,person_313,card_4254,2
CityD,person_314,card_4662,49
CityD,person_315,card_4111,81
CityD,person_316,card_564,42
CityD,person_317,card_3207,6
CityB,person_318,card_3433,24
CityB,person_319,card_4512,43
CityC,person_320,card_3016,44
CityC,person_321,card_1286,37
CityC,person_322,card_410,6
CityA,person_323,card_1521,97
CityD,person_324,card_432,37
